,id,desc,path,caption,similarity
10,0111609001,Opaque matt tights. 200 denier.,../input/h-and-m-personalized-fashion-recommendations/images/011/0111609001.jpg,matt opaque tights with a control top to hold,0.67587864
64,0156224002,Semi-matte socks with a short shaft. 20 denier.,../input/h-and-m-personalized-fashion-recommendations/images/015/0156224002.jpg,doublelayered hat in a soft fine knit [UNK] doublelayered,0.37847212
70,0156610001,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit.",../input/h-and-m-personalized-fashion-recommendations/images/015/0156610001.jpg,sports trousers in fastdrying functional fabric with an elasticated,0.65467274
74,0160442007,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place.",../input/h-and-m-personalized-fashion-recommendations/images/016/0160442007.jpg,fineknit trainer socks in a soft cotton blend with,0.3272012
117,0179393001,Fine-knit over-the-knee socks.,../input/h-and-m-personalized-fashion-recommendations/images/017/0179393001.jpg,fineknit socks in a soft cotton blend with a,0.5201328
119,0179950001,Leather belt with a metal buckle. Width 2.5 cm.,../input/h-and-m-personalized-fashion-recommendations/images/017/0179950001.jpg,leather belt with a metal buckle width 4 cm,0.9425007
133,0184123020,Fully lined bikini bottoms with a mid waist and wide ties at the sides.,../input/h-and-m-personalized-fashion-recommendations/images/018/0184123020.jpg,fully lined bikini bottoms with a low waist and,0.82601917
151,0187949025,"Lightly padded all-in-one pyjamas in soft cotton jersey with press-studs down the front that continue down one leg, and ribbing at the cuffs and hems. Polyester padding.",../input/h-and-m-personalized-fashion-recommendations/images/018/0187949025.jpg,allinone pyjamas in soft organic cotton jersey with long,0.5999074
160,0188183009,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps.",../input/h-and-m-personalized-fashion-recommendations/images/018/0188183009.jpg,fully lined swimsuit with a vneck and narrow adjustable,0.5311829
176,0189616008,Leggings in extra sturdy jersey with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/018/0189616008.jpg,leggings in sturdy jersey with an elasticated waist [UNK],0.92259884
177,0189616009,Leggings in extra sturdy jersey with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/018/0189616009.jpg,leggings in soft organic cotton jersey with an elasticated,0.68794084
187,0189654001,Short jersey skirt with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/018/0189654001.jpg,short fitted skirt in stretch jersey with a high,0.7885021
188,0189654045,Short jersey skirt with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/018/0189654045.jpg,tube top in jersey [UNK] short sleeves [UNK] short,0.5156431
190,0189654047,Short jersey skirt with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/018/0189654047.jpg,tube scarf in a soft rib knit [UNK] short,0.38795346
204,0194037001,Opaque leggings with soft thermal fleece inside and elastication at the waist and hems.,../input/h-and-m-personalized-fashion-recommendations/images/019/0194037001.jpg,opaque tights with a sheen the tummy thighs and,0.5579256
211,0194270044,Tops in soft organic cotton jersey.,../input/h-and-m-personalized-fashion-recommendations/images/019/0194270044.jpg,fitted vest top in soft cotton jersey with a,0.64904284
230,0201219011,Fine-knit tights with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/020/0201219011.jpg,sturdy matt tights with an elasticated waist [UNK] space,0.7510837
233,0201219014,Fine-knit tights with an elasticated waist.,../input/h-and-m-personalized-fashion-recommendations/images/020/0201219014.jpg,tights in a soft fine knit with an elasticated,0.6821897
243,0203595048,Shirt in checked flannel with a collar and chest pocket. Regular fit.,../input/h-and-m-personalized-fashion-recommendations/images/020/0203595048.jpg,shirt in soft checked cotton flannel with a turndown,0.62555355
261,0212629036,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined.",../input/h-and-m-personalized-fashion-recommendations/images/021/0212629036.jpg,long dress in jersey with narrow shoulder straps and,0.8088198
263,0212629043,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined.",../input/h-and-m-personalized-fashion-recommendations/images/021/0212629043.jpg,long sleeveless dress in jersey with narrow shoulder straps,0.89434314
265,0212629048,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined.",../input/h-and-m-personalized-fashion-recommendations/images/021/0212629048.jpg,long dress in jersey with narrow shoulder straps and,0.8088198
285,0215248002,Fitted top in soft stretch jersey with a V-neck and short sleeves.,../input/h-and-m-personalized-fashion-recommendations/images/021/0215248002.jpg,fitted top in soft cotton jersey with a deep,0.71463144
320,0220094010,Strapless maxi dress in jersey with an elasticated seam at the waist and slits in the sides. Integral top with elastication at the top.,../input/h-and-m-personalized-fashion-recommendations/images/022/0220094010.jpg,long sleeveless dress in jersey with a wide neckline,0.6000028
